1
    LCPFCT Test #1 - Constant V Convection:   step =   0 and TIME =  0.000
          with DX = 1.000 DT = 0.200 and VX = 1.000

    I     X(I)     Square    exact     Circle    exact   Gaussian    exact
   28  27.50000   0.00000   0.00000   0.00000   0.00000   0.00002   0.00001
   29  28.50000   0.00000   0.00000   0.00000   0.00000   0.00002   0.00002
   30  29.50000   0.00000   0.00000   0.00000   0.00000   0.00003   0.00007
   31  30.50000   0.00003   0.00000   0.00006   0.00000   0.00005   0.00023
   32  31.50000   0.00004   0.00000   0.00013   0.00000   0.00199   0.00071
   33  32.50000   0.00027   0.00000   0.00026   0.00000   0.00350   0.00200
   34  33.50000   0.05516   0.00000   0.00122   0.00000   0.00380   0.00520
   35  34.50000   0.35436   0.00000   0.07444   0.00000   0.00488   0.01247
   36  35.50000   0.69113   1.00000   0.27283   0.29439   0.03055   0.02761
   37  36.50000   0.90836   1.00000   0.48122   0.52390   0.08288   0.05645
   38  37.50000   0.99065   1.00000   0.64240   0.66000   0.11505   0.10661
   39  38.50000   1.00000   1.00000   0.75278   0.75899   0.15126   0.18596
   40  39.50000   1.00000   1.00000   0.83335   0.83445   0.25564   0.29959
   41  40.50000   1.00000   1.00000   0.89806   0.89245   0.44938   0.44576
   42  41.50000   1.00000   1.00000   0.94672   0.93625   0.67349   0.61258
   43  42.50000   1.00000   1.00000   0.97553   0.96779   0.83937   0.77751
   44  43.50000   1.00000   1.00000   0.98617   0.98826   0.90622   0.91146
   45  44.50000   1.00000   1.00000   0.98710   0.99833   0.91104   0.98686
   46  45.50000   1.00000   1.00000   0.98710   0.99834   0.91104   0.98686
   47  46.50000   1.00000   1.00000   0.98710   0.98826   0.91064   0.91147
   48  47.50000   1.00000   1.00000   0.96931   0.96779   0.82071   0.77752
   49  48.50000   1.00000   1.00000   0.90825   0.93625   0.64027   0.61259
   50  49.50000   1.00000   1.00000   0.88015   0.89245   0.45563   0.44577

 Conserved sums  20.00000  20.00000  15.70968  15.70969   8.86227   8.86227
 Absolute error   0.08197             0.04005             0.05631
1
    LCPFCT Test #1 - Constant V Convection:   step = 250 and TIME = 50.000
          with DX = 1.000 DT = 0.200 and VX = 1.000

    I     X(I)     Square    exact     Circle    exact   Gaussian    exact
    1   0.50000   0.00000   0.00000   0.00000   0.00000   0.00000   0.00000
    2   1.50000   0.00000   0.00000   0.00000   0.00000   0.00000   0.00000
